1,2,3,4,5,6,7,8,9,10
,3364.7,11892.6,,12488.6,17125.8,14119.7,13103.9,3510.1,13771
,10734.1,31521.1,,4595.6,17444.5,15147.9,18422.5,9339.4,14420.7
,3093.2,14928.1,,5236.7,10928.2,18731.2,13279.7,4300.7,10002.2
,8315.9,14213.8,,47311.4,15312.7,19103.8,8945.8,27949.7,12140.1
,8903.9,14908.6,,12022.8,19433.4,12022.8,12366.6,16070.9,21907.8
,37444,5147.8,,9807.3,8192.2,3535.7,21730.1,6865.1,9004.5
,20587.3,9335.4,,10194.3,16059.9,2099.7,5627.7,17561.4,32115.9
,11972.1,16324.2,,7565.6,5988.9,5865,,24312.4,17807.9
,15795.6,21938.9,,7011.2,2800.6,15719.2,,24191.6,19889.7
,18356.5,,,10186.7,4099.9,4309.3,,13221.8,20862
,11411.7,,,4899.1,5617.1,2890.3,,3445.8,13406.2
,4393.2,,,13257.8,23072.8,17988.9,,30773.8,14093.7
,18048.9,,,6682.1,12987,25142.3,,5185.4,13895.1
,7537.3,,,10631.5,2886.1,6799.5,,20521.3,13489.8
,24070.7,,,7164.2,,5647,,18939.8,10572.4
,4904.6,,,6574.5,,13681,,13489.8,
,,,,6313.2,,23286.5,,28510.1,
,,,,11126.2,,7956,,7954.9,
,,,,34408.6,,8182.9,,27015.7,
,,,,14434.6,,3296.4,,32970.7,
,,,,5531.6,,6212.6,,10622.7,
,,,,9005.1,,4941.8,,12241.3,
,,,,3557.1,,19618.9,,8031.9,
,,,,9105.1,,5578.6,,,
,,,,,,8752.4,,,
