NEMS-RHG,REGEN-EPRI,RIO-REPEAT,MARKAL-NETL,EPS-EI,GCAM-CGS
0.738210425,0.936333544,1.055653404,1.306609755,1.56138568,1.701335147
0.855530614,1.085140476,1.223423261,1.514262883,1.809529106,1.97172006
3.074167906,3.899222273,4.396112146,5.441182676,6.502159258,7.08495807
0.475532095,0.603156819,0.680018945,0.841677187,1.005795879,1.095946954
0.876241507,1.11140982,1.253040188,1.550920526,1.853334626,2.019451938
6.330871163,8.029969281,9.053252935,11.20544731,13.39039825,14.59060081
0.712232896,0.903384088,1.018505098,1.260630328,1.506440722,1.641465384
1.133108273,1.437215257,1.620364012,2.005566805,2.396632413,2.611446365
9.621868243,12.20421399,13.75943447,17.03041096,20.35117196,22.17527967
2.499576163,3.170419881,3.574436227,4.424172957,5.286842745,5.760710816
0.722533558,0.916449273,1.033235219,1.278862183,1.528227607,1.665205063
5.729160373,7.266769551,8.19279632,10.14043771,12.11772236,13.20385297
0.841148825,1.06689886,1.20285706,1.488807559,1.779110247,1.93857471
5.466524087,6.933646154,7.817221984,9.675579562,11.56222148,12.59856167
0.259343115,0.328946395,0.370865044,0.459029339,0.548535502,0.597701606
7.160080121,9.081723816,10.23903578,12.67312167,15.14425453,16.50165801
0.912069782,1.156853795,1.304275228,1.614335472,1.929114856,2.10202447
2.227855629,2.825774179,3.185871264,3.943235967,4.712127818,5.134483283
0.643502302,0.816207372,0.920219185,1.138979289,1.361068939,1.483063699
4.972727635,6.307323134,7.111084698,8.801575024,10.51779474,11.46052131
0.918202536,1.164632475,1.31304517,1.625190257,1.942086217,2.116158474
3.5654591,4.522367666,5.09866687,6.310752984,7.54128714,8.217224627
0.769111182,0.975527539,1.099842011,1.361303146,1.626743739,1.772551352
1.24922442,1.584495002,1.786412068,2.211088815,2.642229175,2.879056352
2.936462944,3.724559643,4.19919172,5.197449128,6.210900089,6.767592881
4.519246094,5.732134863,6.462598419,7.99892664,9.558637892,10.41539372
6.561269831,8.322203032,9.382726931,11.61324587,13.87771348,15.12159487
