2015 Observed,2030 Baseline,2030 Net Zero,2030 Net Zero Mandates,2050 Baseline,2050 Net Zero,2050 Net Zero Mandates
14.54,17.376,19.73,19.805,22.015,25.362,26.059
14.67,17.372,19.658,19.732,21.808,25.058,25.691
14.81,17.388,19.605,19.68,21.677,24.84,25.431
15.64,17.725,19.882,19.957,21.867,24.977,25.524
16.45,18.112,20.174,20.25,22.09,25.176,25.709
17,18.693,20.559,20.637,22.576,25.723,26.334
17,18.476,20.204,20.283,21.055,23.725,23.943
16.29,17.455,18.935,19.012,20.158,22.715,23.476
15.41,16.494,17.898,17.973,19.89,22.372,23.181
14.96,16.454,17.822,17.895,19.783,22.209,23.009
14.89,16.37,17.721,17.793,19.71,22.105,22.903
14.7,16.181,17.519,17.591,19.551,21.921,22.722
14.55,15.958,17.296,17.367,19.368,21.732,22.549
14.64,15.762,17.11,17.181,19.158,21.53,22.346
14.72,17.063,18.89,18.963,21.047,23.897,24.767
15.75,17.419,19.31,19.385,21.481,24.422,25.334
16.85,17.931,19.926,20.001,22.004,25.084,26.05
17.16,18.322,20.223,20.299,22.43,25.628,26.58
17.41,18.685,20.678,20.753,22.658,25.949,26.886
16.53,18.204,20.405,20.481,22.725,26.127,27.062
15.6,17.81,20.208,20.285,22.618,26.123,27.021
15.2,17.721,20.303,20.381,22.662,26.351,27.194
16.57,20.387,24.004,24.107,27.21,32.266,33.531
16.56,20.258,23.679,23.782,26.818,31.621,32.826
16.53,20.181,23.547,23.649,26.618,31.332,32.496
16.97,20.283,23.566,23.669,26.437,31.045,32.116
17.43,20.423,23.623,23.727,26.371,30.882,31.892
18.89,21.014,24.161,24.268,26.722,31.194,32.153
20.39,22.125,24.893,25.005,27.233,31.716,32.653
20.95,22.837,25.622,25.738,27.896,32.441,33.477
20.86,22.541,25.151,25.268,26.074,29.955,30.94
20,21.367,23.617,23.73,25.501,29.172,30.244
19.2,20.473,22.665,22.776,25.035,28.574,29.69
18.61,20.255,22.421,22.531,24.791,28.283,29.381
18.37,20.124,22.286,22.396,24.729,28.206,29.299
18.24,20.004,22.155,22.264,24.653,28.115,29.217
18.16,19.861,22.016,22.125,24.581,28.051,29.176
18.15,19.726,21.887,21.995,24.427,27.904,29.029
18.27,20.513,23.272,23.379,26.188,30.312,31.649
19.22,21.031,23.87,23.977,26.829,31.083,32.499
19.91,21.497,24.359,24.467,27.547,32.011,33.469
20.4,22.19,24.959,25.068,28.073,32.711,34.178
20.72,22.589,25.601,25.711,28.353,33.127,34.579
19.29,21.575,24.8,24.908,28.174,33.061,34.535
17.91,20.897,24.373,24.48,27.871,32.861,34.288
17.42,20.783,24.499,24.605,27.902,33.13,34.487
16.91,21.015,24.756,24.862,28.462,33.708,35.016
16.97,20.972,24.521,24.627,28.186,33.184,34.439
16.95,20.934,24.428,24.534,28.029,32.943,34.155
17.46,21.105,24.518,24.624,27.922,32.73,33.844
18.01,21.31,24.642,24.749,27.926,32.64,33.688
19.53,21.943,25.224,25.334,28.32,32.998,33.992
21.06,23.1,25.991,26.106,28.896,33.587,34.549
21.62,23.798,26.708,26.827,29.534,34.292,35.361
21.6,23.554,26.283,26.404,27.565,31.607,32.108
20.78,22.453,24.8,24.917,26.618,30.409,31.549
20.01,21.443,23.57,23.683,26.211,29.856,31.025
19.41,21.052,23.309,23.421,25.77,29.356,30.533
18.99,20.754,22.999,23.111,25.537,29.099,30.27
18.56,20.543,22.791,22.902,25.324,28.865,30.04
18.41,20.373,22.599,22.71,25.184,28.727,29.927
18.36,20.136,22.366,22.475,24.954,28.504,29.704
18.76,21.587,24.437,24.546,27.643,31.904,33.254
20.22,22.174,25.126,25.237,28.66,33.094,34.462
21.12,23.105,25.786,25.898,29.494,34.161,35.574
21.6,23.803,26.699,26.813,30.063,34.919,36.339
22.01,24.33,27.48,27.595,30.416,35.42,36.822
20.73,23.518,26.892,27.004,30.342,35.472,36.884
19.44,22.635,26.255,26.365,30.102,35.346,36.704
18.99,22.503,26.614,26.723,30.205,35.697,36.975
18.51,22.766,26.594,26.704,30.555,36.041,37.234
18.54,22.694,26.324,26.433,30.233,35.466,36.606
18.54,22.681,26.253,26.361,30.092,35.242,36.337
19.03,22.843,26.328,26.438,29.962,35.004,36
19.52,23.001,26.4,26.51,29.907,34.853,35.785
21.01,23.741,26.953,27.066,30.272,35.178,36.058
22.52,25.058,28.064,28.183,30.791,35.706,36.563
23.04,25.688,28.708,28.831,31.391,36.366,37.335
22.59,24.894,27.713,27.836,29.198,33.431,33.655
21.36,23.189,25.582,25.701,27.304,31.172,32.322
20.13,21.578,23.733,23.847,26.552,30.256,31.487
19.38,21.072,23.349,23.462,26.037,29.673,30.91
18.8,20.791,23.054,23.166,25.768,29.377,30.61
18.54,20.528,22.812,22.923,25.538,29.12,30.36
18.37,20.359,22.6,22.711,25.458,29.042,30.309
18.31,20.081,22.324,22.434,25.174,28.762,30.028
18.5,22.121,24.979,25.089,28.358,32.719,34.061
20.09,22.627,25.583,25.695,29.142,33.669,35.036
20.94,23.115,26.233,26.345,29.943,34.709,36.125
21.47,23.606,26.755,26.868,30.509,35.466,36.891
21.92,24.213,27.362,27.476,30.955,36.062,37.46
20.67,23.446,26.938,27.052,30.932,36.158,37.562
19.51,23.085,26.715,26.828,30.804,36.143,37.486
19.15,23.092,26.969,27.08,31.004,36.59,37.85
18.67,22.652,26.456,26.565,30.411,35.857,37.048
18.72,22.604,26.209,26.318,30.107,35.298,36.436
18.73,22.597,26.149,26.257,29.982,35.089,36.18
19.21,22.759,26.226,26.335,29.856,34.857,35.855
19.69,22.921,26.303,26.413,29.808,34.714,35.653
21.16,23.911,26.978,27.091,30.16,35.029,35.921
22.62,25.173,28.198,28.318,30.655,35.538,36.416
23.05,25.698,28.731,28.854,31.222,36.157,37.145
22.54,24.817,27.624,27.747,29.113,33.305,33.527
21.09,22.818,25.178,25.296,26.87,30.672,31.833
19.6,20.995,23.23,23.342,25.928,29.56,30.825
18.78,20.633,22.828,22.938,25.609,29.172,30.416
18.58,20.551,22.755,22.865,25.455,28.987,30.231
18.42,20.457,22.612,22.721,25.338,28.841,30.094
18.38,20.265,22.416,22.525,25.195,28.702,29.981
18.31,19.955,22.112,22.22,24.893,28.408,29.688
18.15,21.771,24.58,24.688,27.891,32.171,33.501
19.24,21.843,24.733,24.843,28.073,32.481,33.868
20.08,22.285,25.329,25.44,28.871,33.5,34.931
20.86,22.839,26.029,26.141,29.636,34.446,35.851
21.55,23.621,26.673,26.785,30.256,35.212,36.557
20.35,23.023,26.452,26.564,30.3,35.37,36.716
19.04,22.608,26.154,26.264,30.083,35.252,36.543
18.55,22.525,26.31,26.419,30.151,35.555,36.774
18.03,21.74,25.43,25.536,29.079,34.286,35.413
18.07,21.721,25.219,25.325,28.845,33.807,34.88
18.15,21.759,25.208,25.314,28.785,33.672,34.699
18.66,21.932,25.299,25.406,28.683,33.463,34.393
19.1,22.069,25.349,25.456,28.604,33.281,34.145
20.52,22.987,25.945,26.055,28.902,33.53,34.339
21.93,24.162,27.07,27.186,29.325,33.955,34.741
22.34,24.636,27.544,27.664,29.83,34.508,35.403
21.63,23.535,26.207,26.326,27.343,31.293,31.525
20.16,21.58,23.849,23.963,25.578,29.254,30.443
18.87,20.322,22.489,22.599,25.023,28.553,29.794
18.6,20.359,22.49,22.599,25.036,28.507,29.74
18.49,20.386,22.506,22.614,24.99,28.438,29.673
18.47,20.305,22.408,22.515,24.925,28.352,29.597
