ic-1,ic-2,ic-3,ic-4,ic-5
2686.5,7579.6,1266.9,33590.6,15125.9
1736.1,2686.5,5928.7,9721.9,32401.5
5204.1,4398.2,13188.6,8960.9,16015.9
942.9,2858.8,7356.3,14811.5,8964.7
838.3,1263.3,11955.1,20406.3,7740.3
5308.3,1579.4,3152.3,7484.9,7450.4
4738.1,8757.9,3506.3,52378.2,7119.5
2381.6,10535.9,8473.3,13615.8,22113.7
1435.4,5497.7,3266.1,8477.1,11054.7
68044.4,1020.7,4926.7,9150.5,4023.5
4055.1,2184.1,9305.6,17018.9,2307.6
68044.4,4306.6,1539.4,4173.5,11116.7
126143.9,1894.9,947.4,10836.8,16586.1
11134.4,8211.2,9494.9,4656.8,235.3
115.7,1633.1,789.5,6821.6,24283.4
11040.4,2721.8,3271.5,3402.2,4168.8
134.3,2565.6,1729.7,8308.2,3601.4
272.2,5248.8,6287.6,10991.4,9360.7
1020.7,2938.3,13297.5,11025.6,29364.2
582,10995.5,5346.3,3415.4,20830.2
8110.8,58767.8,72264.5,10004.9,12705.9
4398.2,4116.4,4418.6,14322.3,13109.4
2655.2,3730.6,2117.2,10239.4,1099.5
1201.5,5577.5,3961.5,11011.6,3361
789.7,11883,6139.1,7711.4,8528.5
2879.5,2932.1,10683.1,12068.6,10932.1
2022.9,68456.9,20756.7,8277.7,2535
1149.8,4737.2,7246,3894.9,8972.3
15790.7,2210.7,18074.7,833.8,2526.5
5211.9,6518.4,14968.5,10475.3,1360.9
1974.2,866.9,8930,2638.9,1051.6
853.2,2991.9,7530.9,4398.2,3334.6
4822.6,1020.7,11637.6,7337.7,8049.3
1814.4,4466.2,11665.8,3892.3,13270.4
1246.9,6804.5,17592.4,11047.9,11189.2
45814.5,11958.5,5392.3,8453.1,612.5
4629.7,6341.9,6134.3,2210.7,13201.1
1079.3,5414,9299.1,15508.2,3298.6
1769.2,1537.7,13080.7,9996.8,5265.7
9305.9,14845.9,5868,57443.9,4763.1
5045.8,9456.1,3324.6,5684.7,7681
2243.8,2526.5,6253.1,7949.4,4265
1329.2,3031.8,1409.2,10583.9,20919.9
9218.9,13815.2,8680.6,21861.7,40997.8
9066.5,2157.9,5988.9,9041.4,11830.8
5643.3,6157.5,4899.2,6162.3,4859.3
3470.3,17727.4,2652.8,4286.8,5305.7
6191.7,2454,2515.9,25902.8,612.5
1041.1,1955.7,4508.1,8835.5,14153.6
17348.4,1759.3,5283.5,13459.4,21868.9
97.9,3455.4,7188.6,2929.5,18473.3
2094.3,4145.8,7214.6,24270.9,3161.6
1579.4,5277.8,7328.7,18262.5,9970.7
1736.8,18317.2,4764.7,7076.8,7144.7
384.5,2622.3,2696.6,4898.5,8231
2826.7,9366.9,10611.4,27445.7,21601.7
545,24556.9,5296,6890.4,15358.6
5610.9,12510.1,3158.1,15512.5,8673.6
8907.6,2381.6,3674.4,33332.2,9165.3
2842.9,3172.9,3302.8,8551,9350.3
987.1,7979.3,11428.2,9374.7,26460.5
1728.7,9122.1,6144.6,2214.4,3665.2
1564.4,2273.9,4981.6,6748.5,4252.9
14152.9,4861.9,8063.4,1465.5,4134.3
2139,15458,3789.8,10512.7,2526.5
473.8,8737.5,6027.3,6308.1,3720.6
4743,14862.3,16074.1,5441.7,6596.3
