2015 Observed,2030 Baseline,2030 Extended Policies,2030 Net Zero,2030 Net Zero Mandates,2050 Baseline,2050 Extended Policies,2050 Net Zero,2050 Net Zero Mandates
18.55,24.1484,25.737,27.7615,27.3517,28.0453,35.5399,40.0487,43.9682
20.01,24.7105,26.3009,28.322,27.8624,28.4495,35.9338,40.3895,44.3462
20.268,25.1762,26.6655,28.552,28.05,28.4894,34.996,38.3598,41.9508
20.251,24.9079,26.1908,27.8137,27.263,28.3237,34.5172,37.5624,41.1241
20.299,24.6196,25.8717,27.4203,26.8355,28.0908,34.1216,36.9948,40.4918
20.212,24.3374,25.6374,27.188,26.617,27.7661,33.765,36.5838,39.9844
19.97,24.1437,25.4543,27.0156,26.4537,27.5358,33.5287,36.3219,39.6542
19.762,24.0777,25.3893,26.9469,26.3983,27.4774,33.4459,36.2209,39.52
19.571,24.2022,25.5234,27.0841,26.5442,27.6696,33.637,36.4208,39.7187
19.701,24.0045,25.4521,27.0376,26.541,27.7523,33.7051,36.5141,39.8185
20.249,23.879,25.3558,27.2284,26.7649,28.2751,35.0564,38.8056,42.5377
21.095,23.9746,25.8619,27.8659,27.4143,28.9942,35.8565,39.7044,43.4892
21.025,24.4356,26.4312,28.5621,28.1164,29.6499,36.7484,40.8482,44.6761
20.892,24.4471,26.5148,28.7475,28.3039,29.6051,36.8675,41.1337,44.9162
20.638,24.3232,26.4729,28.8202,28.3782,29.4436,36.8943,41.3515,45.0931
20.058,23.6452,25.9044,28.3401,27.8863,29.0688,36.6982,41.3361,45.0403
18.901,22.8644,25.2213,27.7748,27.3041,28.4208,36.2509,41.104,44.7407
17.615,22.229,24.9763,27.7785,27.2745,27.949,36.2005,41.4942,45.0505
16.726,21.057,23.5592,26.3067,25.8128,26.2574,34.2609,39.3467,42.4817
16.222,20.8671,23.2458,25.7995,25.3244,25.9373,33.5866,38.3109,41.4095
15.897,20.7264,23.0789,25.5767,25.105,25.6882,33.2351,37.8461,40.8936
15.719,20.9026,23.1989,25.6137,25.1628,25.6101,33.0012,37.4505,40.4307
15.844,21.0118,23.2453,25.5735,25.1433,25.5437,32.7765,37.0657,40.0181
16.294,21.5701,23.7302,25.9972,25.5824,25.817,32.9462,37.0925,40.0543
17.567,22.2751,24.3684,26.6099,26.2053,26.3063,33.391,37.4649,40.4862
19.046,22.799,24.8733,27.1078,26.6961,26.9656,34.0706,38.1326,41.266
19.178,23.202,25.0121,26.8388,26.4614,26.2511,32.4696,35.3252,37.9513
19.033,22.9048,24.782,26.2693,25.9256,26.1677,32.1218,34.6436,37.1806
18.718,22.745,24.6633,26.0401,25.7033,26.0904,31.9175,34.2388,36.6439
18.569,22.6311,24.6012,25.9458,25.6107,25.9908,31.7965,34.048,36.3421
18.527,22.4859,24.4733,25.8163,25.4768,25.8576,31.6652,33.9016,36.1615
18.496,22.4632,24.4335,25.7751,25.4357,25.8545,31.6449,33.8874,36.1706
18.521,22.4669,24.4088,25.7673,25.4246,25.9037,31.6978,33.9812,36.3316
18.678,22.4105,24.2997,25.6845,25.3436,25.8241,31.6069,33.955,36.3913
19.355,22.4955,24.4818,26.366,25.9776,27.1354,33.7016,37.1772,40.3058
20.437,22.7349,24.6823,26.6421,26.248,27.4642,34.117,37.7513,41.0602
20.421,23.1787,24.9342,27.0249,26.6081,27.8479,34.7432,38.6646,42.1248
20.203,23.6599,25.4305,27.5471,27.0622,28.1799,35.3658,39.5874,43.1633
19.886,23.9469,25.8458,28.1845,27.6278,28.2172,35.626,40.083,43.7127
19.365,23.0385,25.073,27.6212,26.9938,27.9413,35.5523,40.2423,43.9325
18.309,21.9475,24.174,26.9309,26.2351,27.4646,35.296,40.2393,43.9248
17.215,21.5388,23.9911,27.2521,26.4672,27.0595,35.336,40.7529,44.3888
16.437,19.5531,21.1719,23.227,22.7265,23.7393,30.0656,34.4329,38.0489
15.931,19.2908,20.8024,22.7038,22.2255,23.3843,29.421,33.5332,37.142
15.616,19.0885,20.5596,22.4104,21.9411,23.098,29.025,33.0634,36.6563
15.55,19.0449,20.4603,22.2464,21.7924,22.8641,28.6619,32.5846,36.1384
15.559,19.081,20.4421,22.1609,21.7198,22.768,28.4322,32.2337,35.7641
15.799,19.3659,20.6742,22.3222,21.9065,22.8862,28.4308,32.1233,35.6539
16.343,19.6978,20.9716,22.5662,22.1764,23.1211,28.5931,32.2207,35.7739
17.209,20.0733,21.3446,22.911,22.545,23.6544,29.1247,32.7574,36.404
17.712,20.4604,21.4668,22.7452,22.428,23.5153,28.2491,31.2074,34.7694
17.914,20.3309,21.3355,22.4402,22.1731,23.4481,27.958,30.699,34.2307
17.908,19.9954,20.98,22.0421,21.8118,23.0721,27.4728,30.0922,33.5411
17.859,19.5919,20.5784,21.6401,21.4284,22.5704,26.9293,29.492,32.8333
17.778,19.4372,20.4302,21.4968,21.2964,22.3613,26.7016,29.2314,32.4944
17.618,19.2577,20.2532,21.3199,21.1266,22.1669,26.4881,28.9937,32.2095
17.695,19.1169,20.1194,21.1908,20.9982,22.0584,26.3795,28.8824,32.0816
18.023,19.0969,20.102,21.1797,20.9862,22.0289,26.3563,28.8712,32.0673
18.742,19.1695,20.3429,21.7394,21.4538,22.7266,27.6948,30.809,34.1845
20.126,19.5559,20.7571,22.1823,21.8884,23.1706,28.2119,31.4032,34.8477
20.058,19.985,21.2077,22.7203,22.4117,23.6313,28.8536,32.2297,35.7421
19.579,19.9741,21.2102,22.7752,22.4515,23.5296,28.8414,32.3088,35.81
19.105,20.0098,21.2359,22.8758,22.5377,23.5066,28.9569,32.5602,36.0667
18.539,19.5059,20.9159,22.6433,22.2869,23.3249,28.9434,32.6746,36.1706
17.652,19.0717,20.5495,22.3796,22.0041,22.993,28.7929,32.6675,36.1187
16.734,18.8384,20.4268,22.4344,22.0266,22.7531,28.865,33.0337,36.4437
16.006,17.5566,19.2274,21.5034,21.0414,21.2256,26.9348,31.1185,34.0065
15.458,17.3252,18.9422,20.7864,20.3436,21.03,26.4751,29.9967,32.7521
15.23,17.1992,18.7767,20.4636,20.1339,20.8294,26.1729,29.6288,32.3757
15.055,17.1952,18.7205,20.3521,20.0318,20.6536,25.8791,29.2302,31.9439
15.065,17.149,18.6297,20.2049,19.9088,20.4614,25.5572,28.7847,31.4415
15.14,17.3319,18.7768,20.2977,20.0444,20.4385,25.4102,28.5134,31.1035
15.451,17.5579,18.9734,20.4407,20.2223,20.5267,25.4192,28.4234,30.9452
15.972,17.9089,19.2169,20.6349,20.4412,20.8895,25.7741,28.7338,31.2429
16.59,18.0081,19.423,20.5631,20.4695,20.4801,24.5506,26.9823,29.188
17.159,17.5135,19.0329,19.8729,19.8313,20.4234,24.2241,26.0245,27.7707
17.4,17.185,18.6866,19.4238,19.3997,20.2637,23.7573,25.3934,26.9513
17.341,16.9083,18.2211,18.948,18.8955,19.9079,23.2374,24.7883,26.1827
17.234,16.8444,18.0281,18.7521,18.69,19.6373,22.9205,24.4349,25.7536
17.135,16.7839,17.8762,18.5952,18.5265,19.4514,22.697,24.1833,25.4519
17.157,16.7628,17.8204,18.5411,18.4663,19.4103,22.6472,24.1285,25.3781
17.402,16.7655,17.8632,18.5902,18.5155,19.4582,22.7122,24.2098,25.4661
18.199,16.9813,18.4887,19.5851,19.4357,20.5236,24.5592,26.8122,28.6029
19.47,17.5554,19.1795,20.3053,20.1564,21.254,25.3784,27.7096,29.5752
19.345,18.0243,19.7041,20.91,20.7538,21.7528,26.0334,28.5225,30.4266
18.892,18.1105,19.8358,21.1209,20.9528,21.8615,26.2853,28.9141,30.82
18.395,18.0608,19.8277,21.1879,21.0086,21.7904,26.3452,29.1026,30.9974
17.767,17.5496,19.3726,20.8188,20.6176,21.4767,26.197,29.0828,30.9717
16.838,17.121,19.0058,20.5527,20.3281,21.1528,26.0543,29.0859,30.9388
15.717,16.7828,18.7643,20.4878,20.2329,20.7825,25.9877,29.3063,31.1057
15.095,19.1298,21.8547,24.2422,23.8167,24.9334,31.8708,35.9919,37.8358
14.715,19.1161,21.6828,23.8936,23.4835,24.7435,31.3422,35.1292,36.9453
14.549,19.0753,21.5802,23.7449,23.3357,24.5582,31.0559,34.7451,36.5308
14.551,19.191,21.6346,23.7277,23.3372,24.4391,30.7954,34.3466,36.0959
14.868,19.4046,21.7949,23.8097,23.4389,24.5073,30.7215,34.1311,35.8698
15.445,19.9418,22.2939,24.2453,23.8916,24.8156,30.944,34.2136,35.9461
16.826,20.5393,22.8698,24.7829,24.4433,25.2524,31.3475,34.5288,36.2744
18.445,21.3613,23.2223,25.1188,24.775,25.7408,31.8577,35.0117,36.8286
18.667,21.6086,23.3946,24.8551,24.5367,24.4553,29.4866,31.5796,32.823
18.728,21.4799,23.0827,24.3994,24.0839,24.2333,28.9905,30.811,32.0477
18.793,21.3407,22.822,24.0715,23.7505,23.9715,28.5859,30.2627,31.4586
18.866,21.1536,22.5964,23.8401,23.5133,23.6921,28.2741,29.9149,31.0579
18.794,21.056,22.5027,23.7506,23.4179,23.5912,28.1736,29.8059,30.9208
18.709,21.012,22.4885,23.7295,23.3991,23.6264,28.2007,29.8329,30.9511
18.607,21.0101,22.5621,23.8048,23.4767,23.8024,28.4001,30.0581,31.2083
18.617,20.9418,22.6222,23.8681,23.5508,23.9508,28.5775,30.2811,31.4778
