2015 Observed,2030 Baseline,2030 Extended,2030 Net Zero,2050 Baseline,2050 Extended,2050 Net Zero
17.914,19.356,19.513,20.159,23.951,25.504,27.124
17.908,19.003,19.149,19.762,23.546,25.019,26.569
17.859,18.6,18.744,19.349,23.063,24.499,26.009
17.778,18.446,18.59,19.192,22.866,24.281,25.774
17.618,18.266,18.41,19.008,22.673,24.073,25.56
17.695,18.125,18.27,18.868,22.557,23.954,25.458
18.023,18.106,18.254,18.855,22.532,23.936,25.448
18.742,18.173,18.347,19.157,23.307,25.05,27.111
20.126,18.55,18.731,19.558,23.732,25.513,27.66
20.058,19.001,19.171,20.02,24.221,26.097,28.406
19.579,19.035,19.227,20.063,24.184,26.115,28.459
19.105,19.119,19.34,20.228,24.226,26.231,28.664
18.539,18.583,18.823,19.833,24.113,26.189,28.718
17.652,18.19,18.446,19.518,23.891,26.049,28.655
16.734,18.018,18.31,19.487,23.828,26.151,28.927
16.006,16.934,17.282,18.604,22.272,24.492,27.033
15.458,16.729,16.988,18.101,21.975,23.954,26.269
15.23,16.605,16.857,17.871,21.754,23.7,25.96
15.055,16.593,16.835,17.817,21.571,23.464,25.611
15.065,16.534,16.765,17.71,21.364,23.186,25.224
15.14,16.698,16.916,17.825,21.33,23.073,25.001
15.451,16.891,17.09,18.001,21.417,23.098,24.951
15.972,17.207,17.34,18.322,21.76,23.408,25.277
16.59,17.404,17.435,18.549,21.243,22.621,23.805
17.159,17.109,17.072,18.134,21.024,22.037,23.121
17.4,17.03,17.065,17.8,20.637,21.575,22.556
17.341,16.644,16.723,17.297,20.175,21.078,21.999
17.234,16.361,16.439,16.995,19.886,20.77,21.671
17.135,16.22,16.297,16.846,19.681,20.552,21.442
17.157,16.164,16.242,16.789,19.625,20.495,21.397
17.402,16.203,16.283,16.834,19.683,20.563,21.477
18.199,16.591,16.741,17.489,20.877,22.173,23.7
19.47,17.238,17.395,18.163,21.609,22.944,24.552
19.345,17.708,17.882,18.696,22.139,23.553,25.301
18.892,17.806,17.995,18.855,22.304,23.791,25.644
18.395,17.772,17.976,18.88,22.298,23.854,25.792
17.767,17.282,17.501,18.456,22.048,23.676,25.71
16.838,16.89,17.126,18.143,21.828,23.542,25.654
15.717,16.6,16.872,17.991,21.633,23.507,25.785
15.095,18.804,19.188,20.841,25.949,28.269,31.394
14.715,18.715,19.062,20.612,25.63,27.774,30.65
14.549,18.648,18.985,20.507,25.43,27.525,30.309
14.551,18.752,19.074,20.557,25.308,27.332,29.955
14.868,18.952,19.257,20.697,25.347,27.297,29.777
15.445,19.452,19.74,21.149,25.63,27.509,29.835
16.826,20.01,20.285,21.678,26.042,27.875,30.102
18.445,20.721,20.878,22.007,26.463,28.278,30.535
18.667,20.882,21.019,22.137,25.001,26.303,27.429
18.728,20.615,20.722,21.718,24.619,25.772,26.747
18.793,20.377,20.47,21.423,24.279,25.357,26.245
18.866,20.163,20.253,21.201,23.997,25.059,25.914
18.794,20.068,20.158,21.109,23.898,24.959,25.808
18.709,20.057,20.147,21.094,23.927,24.989,25.845
18.607,20.12,20.212,21.162,24.099,25.175,26.066
18.617,20.184,20.277,21.235,24.273,25.372,26.298
19.116,20.379,20.472,21.444,26.343,27.907,29.973
20.29,20.62,20.617,21.915,26.96,28.601,30.835
20.451,21.08,21.078,22.674,27.626,29.422,31.921
20.361,22.16,22.384,23.923,28.667,30.772,33.816
20.104,22.896,23.239,24.767,29.271,31.857,34.879
19.504,22.615,23.021,24.69,29.764,32.723,36.21
18.584,22.169,22.649,24.491,29.787,33.281,37.151
17.549,22.37,22.984,25.177,30.295,34.649,39.192
16.819,23.802,24.302,26.171,33.169,37.313,41.857
16.528,24.108,24.566,26.309,33.387,37.377,41.638
16.429,24.34,24.788,26.502,33.627,37.614,41.79
16.377,24.695,25.128,26.794,33.832,37.783,41.77
16.585,25.078,25.492,27.105,34.144,38.053,41.88
17.2,25.772,26.167,27.73,34.641,38.489,42.132
18.677,27.082,27.447,28.958,35.169,38.973,42.498
20.23,27.926,28.276,29.765,35.812,39.597,43.182
20.351,28.269,28.568,29.942,35.264,38.805,41.153
20.16,26.784,26.995,28.145,32.967,35.772,37.78
19.938,25.374,25.537,26.66,31.641,34.111,36.072
19.756,24.65,24.92,26.135,30.909,33.245,35.121
19.421,24.233,24.379,25.425,30.597,32.805,34.643
19.24,23.674,23.81,24.838,30.275,32.164,34.307
19.126,23.375,23.51,24.533,30.071,31.912,34.284
19.222,23.21,23.352,24.374,29.954,31.813,34.287
19.871,24.507,24.779,26.081,32.512,35.42,38.511
20.923,25.128,25.417,26.747,33.415,36.55,39.82
21.135,25.495,25.817,27.229,34.16,37.515,41.076
20.971,25.549,25.89,27.353,34.256,37.729,41.367
20.752,25.72,26.087,27.62,34.56,38.175,41.971
20.181,25.311,25.704,27.3,34.492,38.232,42.217
19.15,24.547,24.971,26.643,33.901,37.773,41.904
18.048,23.953,24.433,26.259,33.356,37.476,41.881
17.281,22.815,23.27,25.04,31.176,34.931,38.893
16.793,22.572,22.985,24.639,30.657,34.207,37.878
16.634,22.4,22.802,24.426,30.318,33.807,37.368
16.602,22.418,22.802,24.38,30.031,33.433,36.796
16.749,22.51,22.874,24.401,29.891,33.2,36.391
17.392,23.06,23.403,24.893,30.164,33.387,36.394
18.812,23.977,24.281,25.705,30.6,33.773,36.666
20.173,24.75,25.038,26.443,31.077,34.24,37.18
