MARKAL-NETL,REGEN-EPRI,IPM-NRDC,Haiku-RFF,NEMS-RHG,RIO-REPEAT,GCAM-PNNL,EPS-EI
43.38086675,82.05573164,83.26832404,163.6252248,212.6264705,280.0927139,292.7835128,302.8579629
27.07146124,51.20618201,51.96289,102.1089311,132.687742,174.7894779,182.7090631,188.995938
39.34899423,74.42936836,75.5292609,148.4176899,192.8646979,254.0605435,265.5718435,274.7099615
12.99949184,24.58878519,24.95215011,49.03186439,63.71555655,83.93246199,87.7353813,90.75428669
15.06619963,28.49800214,28.91913617,56.8271334,73.84529381,97.27635842,101.6838801,105.1827423
56.2255437,106.3516815,107.9233114,212.0731539,275.5832192,363.0255988,379.4740269,392.5314293
10.12692501,19.15527059,19.43834083,38.19703261,49.63599125,65.3854596,68.34802761,70.69982942
15.53906775,29.39244116,29.82679291,58.61071125,76.16300408,100.3294767,104.8753329,108.4840105
103.018758,194.8619332,197.7415383,388.5691713,504.9349299,665.150461,695.2879486,719.2122594
12.14116735,22.96524816,23.30462098,45.79441093,59.508575,78.39060788,81.94242977,84.76200426
18.7277976,35.42398411,35.94746801,70.63805598,91.7922071,120.9178159,126.3965149,130.7457194
136.7268385,258.6214064,262.4432278,515.7102974,670.1513196,882.7899057,922.7884796,954.5409045
38.40658111,72.64677609,73.72032606,144.8630685,188.2455654,247.9757631,259.2113661,268.1306251
12.05551266,22.80323068,23.14020926,45.47133603,59.08874808,77.83757015,81.3643343,84.16401698
101.5627886,192.1079396,194.9468471,383.0775034,497.7986588,655.7498556,685.4614086,709.0475959
13.81626842,26.13373358,26.51992923,52.11260624,67.71889569,89.20605808,93.24792023,96.45650774
71.28415716,134.8353343,136.8278862,268.8716736,349.3913302,460.2529764,481.1067068,497.6612097
5.690304103,10.76331806,10.9223748,21.46285582,27.89038966,36.73999251,38.40465506,39.72612901
92.84652764,175.6209667,178.2162352,350.2012546,455.0768795,599.472483,626.6341488,648.1961365
16.79739047,31.77258243,32.24210713,63.35688977,82.33053227,108.4539576,113.3679282,117.2688294
43.27213375,81.8500611,83.05961418,163.2151025,212.0935278,279.3906689,292.0496586,302.0988574
12.17131273,23.0222687,23.36248416,45.90811412,59.65632917,78.58524436,82.14588509,84.97246031
74.92710393,141.7260371,143.8204176,282.612247,367.2468267,483.7740105,505.693462,523.0939758
14.02179113,26.52248367,26.91442414,52.8878028,68.72624226,90.53303508,94.63502159,97.89133817
50.08389471,94.73463608,96.13459313,188.9079022,245.480613,323.3714549,338.0231823,349.6542938
13.26637437,25.09359855,25.46442343,50.03849972,65.02365143,85.65561454,89.53660865,92.61749285
18.99751018,35.93415056,36.46517353,71.65536578,93.11417316,122.6592409,128.2168426,132.6286832
46.88477461,88.68343976,89.99397424,176.8413672,229.8004833,302.71603,316.431875,327.3200467
73.99642259,139.9656358,142.0340015,279.1018758,362.6851961,477.7649775,499.412164,516.5965433
89.86776138,169.9865739,172.4985791,338.9658567,440.4767896,580.2397939,606.5300404,627.4002615
26.24694175,49.64658778,50.3802486,98.9989843,128.6464519,169.465889,177.1442662,183.2396609
8.465264439,16.01220813,16.24883123,31.92953256,41.49154765,54.65678924,57.13324894,59.09915905
23.62144856,44.68041764,45.34069004,89.09607209,115.7778904,152.5141411,159.4244469,164.9101165
62.04349554,117.3564477,119.0907024,234.0174752,304.0992599,400.5897611,418.7401942,433.1487146
34.99761429,66.19865073,67.17691245,132.0050275,171.5368954,225.9654429,236.2037741,244.33136
79.55686901,150.4833256,152.7071183,300.0749306,389.9391029,513.6665315,536.9403915,555.4160876
61.13853835,115.644704,117.3536631,230.6041311,299.6637134,394.7468185,412.6325121,426.8308719
27.16669564,51.38631968,52.14568968,102.468139,133.1545228,175.4043679,183.3518133,189.6608048
16.83449195,31.84276058,32.31332234,63.4968302,82.512381,108.6935069,113.6183312,117.5278486
42.57781696,80.53674774,81.7268931,160.5962581,208.6904117,274.9077462,287.3636179,297.2515737
20.80768074,39.35812249,39.93974378,78.48302017,101.9865219,134.3467802,140.4339359,145.2661571
6.93577692,13.1191535,13.313024,26.1605667,33.99493549,44.78150684,46.81052461,48.4212379
17.72838373,33.53357383,34.02912187,66.86843744,86.89369169,114.4650046,119.6513314,123.7684395
28.79030734,54.45741199,55.26216557,108.5921252,141.1124741,185.8873721,194.3097948,200.9958418
31.64241743,59.85223228,60.73670873,119.3497976,155.091773,204.3022936,213.5590831,220.907483
35.82218194,67.75833606,68.75964629,135.1151559,175.5784216,231.2893427,241.768896,250.0879734
7.931018844,15.00167246,15.2233622,29.91444936,38.87300256,51.20738148,53.52755099,55.36939187
24.31917877,46.00018756,46.67996308,91.72779137,119.1977371,157.019103,164.1335253,169.7812306
23.80146334,45.020919,45.68622322,89.77505711,116.6602127,153.6764238,160.6393917,166.1668666
11.13335645,21.05895474,21.37015699,41.99312023,54.56890249,71.88358044,75.14057361,77.72610159
21.84623793,41.32257308,41.93322437,82.4002806,107.0768939,141.052324,147.443303,152.516711
15.42925253,29.18472359,29.61600576,58.19650698,75.62475705,99.62044421,104.1341747,107.7173496
14.70371064,27.81234735,28.223349,55.4598868,72.06859453,94.9359136,99.23739136,102.6520719
93.90385297,177.6209176,180.2457407,354.1893053,460.2592415,606.2992051,633.7701848,655.5777178
18.82786264,35.61325903,36.13953996,71.01548422,92.28266471,121.5638953,127.0718677,131.4443107
30.29609457,57.30563708,58.15248079,114.2716976,148.4929219,195.6096313,204.4725626,211.5083025
17.19548889,32.52559313,33.00624557,64.85844904,84.28176716,111.0243181,116.0547499,120.0481024
