ic-1,ic-2,ic-3,ic-4,ic-5
3.5,10.7,40.5,27,33.1
10.8,4,15,7,32
0.4,34.1,10.6,10.5,0.3
14.5,27,7.9,8,98.4
40.5,10.3,6,70.9,60.7
20.3,3.1,44.8,28.1,2.2
3,45,15,14,35.4
10,9,17.9,38.2,42.4
14.8,2.4,14,39.6,38.7
1.5,6,20,10,14.6
4,8.5,13.3,11,33.8
10,1.7,5,23,28.5
8.8,11,8.5,53,13
6,6,14.2,9,13
2.2,9,22.9,61.5,48.2
12.2,12.2,20.5,17.6,27.6
11.6,2.5,27.5,16,16.5
5.2,2.4,4,8.8,7
0.4,17,410,20.5,32.9
0.5,70.7,32.8,5.7,6
10.6,20,22,32.3,27.7
3,6,12,20,18
9.1,15.2,16,23.2,25
7,11,17,54,8
10,13,20,26.7,8.5
0.3,0.1,17,16,16.4
25.4,10.4,32,39.7,11.2
7.4,9.5,21,10,34
1,69,10.6,29.6,48
0.1,9.7,33.3,24,21
22.9,14.2,3.5,22,1
12.6,17.2,5,12,14
3,7.5,42.8,18.8,20
5,14.4,12,30,9
3,22.9,10,6,15.7
3.1,12,12,6,4.9
7,12,29.1,10,24
10,104.7,25.8,20.3,9.6
0.5,10.7,30,25.5,10
22.3,0.6,23,9.1,88.3
11.1,20,18.8,48.6,47
18.3,3.6,10,54.3,28.3
2.5,23.2,30.8,3,21
20.5,16.2,9.9,36.7,18.5
10,10,3.5,15,9
60,3,29.8,85,28.2
7.8,3,17.5,12.3,54.1
3.8,40,14.4,4.4,12.5
10.9,5.2,37.1,31.7,50.6
3.5,20,16.5,40,10
2.6,0.7,35.8,2.2,50.7
6,8.2,14,36.9,13
39.2,12,7,30.1,7
5.3,15,20,12,53
11.8,18,50.1,12,24.5
5.6,20,43.8,7.1,15.5
0,7.2,4.2,17.8,19.9
9.4,3.5,12,33.5,8.1
20,11.6,20,17,19.5
8.2,11,6.6,20,21.7
12,14,9.7,72,33
0.5,41,16,8,22
33.8,4,30,44.3,16.2
6.1,5.3,3.3,11,14.1
5.5,17.6,12.7,12,6
6,0.3,13.3,10,12
0.5,8.9,16,8,9
0.1,5,17.6,10,3.1
13,39,23.5,26,34.5
2,22,68,9.5,34.9
28.7,10,20,37.9,12
7,37,22.3,18,12.5
1,2.7,19,32.6,53
3.3,8,10,4,17
9,20.5,16,12,26
1.8,15.2,33.6,15.1,20.3
3.3,5,5,16,53
20,2,22,2.4,40.2
5,7,13.4,23.4,28.7
1.6,12,25,10.7,93.4
5,3,4.1,28.1,24
20,10.8,15.1,8,30.8
1,19,40,14,0.2
2.4,55,27,1.5,16.4
11.5,25,11,25.5,50.9
5,61.2,4.2,1.7,11.9
5,15,12,49.4,31
1,32.7,31.3,14.8,45.7
14.3,7.2,15.5,16.5,6.2
15,3.9,13,14,18.5
1.8,31,33.1,13.8,17.3
28,8,27.7,5,19.8
50.3,1.5,45,25,57.2
9,16,10.5,15,27.1
15,10.6,24.3,45,52.8
5.5,8.1,12,22.1,23.1
30,15.6,20,36,22
16.2,15,5,12.6,16
2.5,25.2,10,37.1,29
5,13.3,9.6,11,57
9.8,12,10,19.5,40.3
120,16,11.2,10.9,25.4
0.1,7.3,24,24.3,56.8
2.5,43,26.4,17.5,30
1,10,7,13.7,32.8
8.8,25.5,15.6,25.2,32.6
13.6,40.1,10,14.5,37.7
8,26.1,7.5,10.8,21.1
2.4,12.5,27,16,43.1
20.9,11,4.4,41,27
1.7,17.1,11.1,33.9,11.8
6.5,23,3,65,38.9
5,5,12.4,38.8,53.3
0,10,13.6,10.5,17.5
2.5,0.8,9,22,15
3,7.8,24,14.8,28
10.5,7.6,18,21,27
23,20,20,13,16.5
0.7,7,20.8,26,11
21,20.3,13,6,3
6,72.6,13.9,8,63
31.4,13.3,6.1,9.5,1.2
5.5,15,25.5,20,8.2
31.9,11,17.6,30,36.4
4.8,21.7,19.3,26.5,23
3.9,13,11.5,22.3,27
8,21.9,15.1,18,17.4
10,8,24.6,83.4,22
