ic-1,ic-2,ic-3,ic-4,ic-5
10.7,6.5,25.4,21.9,28
6,12,11.7,18.9,50.8
20.7,9,6,14.7,10
25.4,18,25,24.5,21.5
9.9,26.3,60.1,7.4,12.5
0.5,1.9,57.4,22.5,11.5
40,9.1,17.7,25.7,5
34,5,38.9,25.6,30
24.4,2,15,39.4,8
0.5,13,28.2,25.9,75.4
3.6,12.6,9.8,15,16.9
6,26,17.7,18,20.2
5,16.2,1.4,13,16.3
35,17.6,35,8,25
7.2,2.6,50,14.1,35
28.5,41.2,18.4,9,50.6
0.2,44.5,24.5,15,3.3
4.3,10.2,12.7,13.4,57
2,19.5,39.9,31.3,16.9
23.7,0.4,17.9,20,104.5
2.5,7.8,43.7,40,8.5
1.7,7,29,15,13.5
16.9,16,12,3.5,4.7
33.2,5,15,0.1,31.8
7,15,15,19,23
1,23,14,15,14.4
7.5,14.4,18,21,120
2.5,2.5,14,9.3,8
1.1,17.1,10,27.3,50
4.4,10,20,4.5,18.7
26.6,45,23.5,20.5,8.4
15,6.1,21.6,37,10
7,20,12,21.4,26
12,39.8,4.5,7,30
9,10.3,52.9,9,20.5
3.5,10.5,16.8,16,87
0.5,19,6.7,4,14
7,20,19,40.4,31.5
10,8,9,5,14.3
8,1,40,43.2,7.6
0.4,1.2,43.6,6.8,34
12,11,12.9,59.6,34.8
61.4,11.3,21,23.8,15.4
1.2,5.5,5.2,101,13.3
35.6,7,13.2,16.3,26
12,15.7,21,14,34
2,3,30.5,10,76.4
1.5,2.3,7,11.6,3.5
20.7,3,8.3,51.2,40
2.5,13.3,36.6,2.6,27.6
6,31.5,10,35,17
24.9,39,25,24.2,29.4
10,20.3,29.3,12.1,52.4
13,23.7,15.1,22.5,32
14,23,33.4,13.8,15
5,10.2,16.5,12,47
20,5.5,7.8,40.6,10.6
5,20,9.6,12.6,22
19,15,8.5,14,15
5,0.1,10,35,7.7
21,61,18,18,25.5
0.5,27.8,15,9.5,8
1.8,20,8.4,27.4,17
23,24.9,26,5,42
2.6,15.5,9.5,35,48
6.1,3,15.5,40.5,19.1
12,43,15,15,75
25,7.7,15.1,26,12
7.9,14,22,9,15.5
16,6.3,9.1,38,12.3
15,15,20,6,14.5
2,13.2,23,15.2,32.8
17,18,8,33.9,27
3,13.7,17,26,25
25.7,20,12,22.6,15
10,18,46.1,12,29.4
8,3.3,9.5,28.2,1
3,4.4,35,37.8,15.5
0.4,5,3,8.4,24.3
0.5,15.5,5,17.9,10
19.4,12,26.8,42.2,16
10,18.7,13.9,19,30.9
2,8,10,5,6
3.6,1.4,6,20.6,23.3
12,2.6,10.3,25,49.6
5,15,3,11.8,12
8.7,19,7,13,23
4,12,41.2,8.5,24.4
2.2,6.2,28.7,25,10.8
4.7,0.5,20,32,28.3
23.4,58.3,25,26,9
20,52.8,15,12,30
7.5,5,30,24,6
11.2,15,12,21.6,42
140,21.5,15,36,30
9.1,20,23,10,2
8,6,11.3,39.1,30
22.8,9.5,12,20,20
1,7.8,18,12,18.7
1,11,18.4,15,32
9,23,43.1,70,36
21.4,9.1,16.4,12.5,27
5.2,19.5,20.9,31.7,4
21.6,8.7,35.1,30.1,15
8,57.5,17.1,15,40.2
12.5,14.5,5.9,7.5,35
1.2,12,30.5,19,22
8.5,0,11,13,36.4
11.9,5,16,10.2,38
2,13.7,22.9,6.3,6
7.9,10,15,56.8,26
2,16.5,10,14.9,16.4
7,12,2.8,9.4,30.5
54.8,53.7,15.7,115.6,25
10,10,12,18.4,27.6
0,12.1,8,15,15
3,42,31,25.9,44
3,17.2,31.1,21,35
1.2,13.1,11.5,3.2,19
4.1,3,50.3,25,20
36,34,0.1,23,20
44.8,24.3,16,29.7,35
4.9,3,20.6,10,0.4
5,3.8,8.4,17,10.1
13.7,15,12,8.6,18
2.5,11.3,1.5,17,22
14.7,12,16,11,21.5
20.4,22,39.5,40,39.8
25,7,3,7,13.3
20,21.6,12,25,60
6,1.4,3,9.5,31.3
10,30,10.2,10,12.5
70.7,16,16.9,49.3,58
17,27,18,12.1,2.8
9,12,28.1,13.5,12.3
15.2,39.5,17.5,25.8,26
6.8,13,27,30.8,26
27,6,22.5,10.4,30
2.3,25,20.3,24,15.2
15.9,5,18.6,2,32
1.6,17,4.8,51.1,19.5
2.4,26,17.4,25,24
16.2,14.6,0,4.1,41
15.5,20,59.5,48.8,228
15,8.1,8,5,13
6.5,4.5,17.2,36,99
11.9,36.2,27,18.3,68.4
18.8,3,12,51,18.9
3,1.7,25.1,34.5,15.4
6,15,16.2,20.5,28
9.1,2.4,3.5,30.4,42.4
0.5,9.1,23,26.8,53.5
6.5,55,18,39.1,28.5
27,52,3.9,16.5,16
0.5,5,12,23.3,25
22,8.6,24,14.4,236.8
3,16,0.3,39.8,11
19.5,8.2,5,15,8.9
11.1,40,8.9,28.4,11.4
2,14.5,46,13,33
14.9,13.3,17.5,43,6
7,25.5,27.6,13,2.5
1.3,29.3,11,15,15.7
6.8,7.5,16.5,15.3,30
2,12.5,8,19,18.5
7,20.8,9.5,30.2,12.5
26.1,15,37,44,0
5,1,20,10.7,12.6
2.1,15.4,6,31.8,45
10,9.5,25,10,19.7
4.3,27.7,35.1,2.5,14.5
20.7,10.7,40,11.4,20
4,8.5,21.7,9,25.6
8.2,47.6,13.5,33.7,13
17,11,20.9,42,8
7,1.6,45,15,81.4
18,4,12,15,15.6
17.1,29,20,28.4,36.2
12,8,0.1,15.2,18.1
4,1.7,6,9.1,18.5
10,6,50,27.3,24.6
20,16,54.8,38.9,12.6
0.7,9.6,10,30.3,23.8
5,9,23.9,15.5,1.7
3.4,4,2.7,11.7,26.8
1.2,2.2,10,12.4,22
20,16,12,45,84.8
8.4,25,88.6,20,13
2.8,12.5,16.1,14.4,12.4
0.5,22.6,12,15,14.8
13.2,2.4,11,10.1,15.2
0,10.7,3.5,22,100
107.7,10.3,13.4,12,18.5
3,19.6,10.3,81.5,8
7.8,3.2,4.8,20.8,1.6
2,16,10.6,12.3,28
23.9,6.9,26.4,46.3,58.2
2,2.8,24.9,30,26.4
12,8,14,30.7,15.1
9,10,22,15.5,100.2
10.5,14.5,12.1,85,15
3.4,13.3,76.3,10.8,38
31.3,7.8,0,17.9,13
10,2.3,23.5,10.1,19
1.8,19.2,15,13.7,41
12,11.5,47.9,20,27.4
6.3,10.9,14,10,19.6
6,12,26.9,36,52.2
9,11.4,4,48,6.3
4.2,20,15.6,3.5,58
0.6,15,9,29,26.4
4.2,5,25.8,60.4,47.5
15,5.5,14.2,20.7,8.5
14.5,2.2,8.5,12.3,11.5
0.8,8.5,11.7,21.3,24
0.6,56.2,1.5,9,11
0.4,14.7,53,4.4,17.5
12,1.9,18,16.6,8.6
51,22,41.9,18,26.9
2,1,22,9.3,20.4
4.3,31,20,11,25
13.5,9,17,32,43.8
20,5,18,11.2,21
11.2,6.4,17.3,19.5,29
10,12,16.4,28.7,19.5
0.1,18.5,19,22.2,2
13.1,20.5,11.3,32.8,56.4
0.7,4.5,64.7,162.3,8.9
2.5,24,15.6,19,50.7
52.5,12,3.5,27,25
5.5,6.5,20,16,71
15,23.3,11,20,6
31.8,10,9,7.7,13.7
2,8,2,16.1,20.5
3.5,38.4,23.3,51,26
20,15,31.1,16.2,10.8
8,11,10.7,12,4.6
8.5,8,24,12.5,37
6.7,10,4,70,22.8
1.2,15,37,9,51.1
8,4,5,24.5,171.3
0,7,25,29.3,30.3
65.2,27,20,11.7,40
18,7.2,20,12,24
50,13.7,9,7.5,9.2
3,2.8,4,30,8.5
0.5,20.4,24.1,31.6,28.9
7.5,10,8.7,6,28.6
1.1,20,13,87,2.1
2,1.7,9,16.6,14.7
1.5,3.5,29.9,18.5,35
0.9,14.8,16,11,17.8
26.2,12,15.5,37,47
31.5,11.5,21.5,6,35
2.4,0.8,21,26.3,22.8
18.8,20,26.5,13,12
24,59.4,16,41,0.5
3.6,0.5,202.5,21,10.6
12,52,11,12,20.3
14.3,15,15,20,4
75,15,25.9,12.8,16
4.5,0.1,20.5,21.3,9
10,3,4.9,39.5,12
1.1,5,16.3,10,19
1.2,2.4,12.5,12,54.6
14.3,15.3,8.7,22.7,20
0.6,42.4,13.7,23.3,20.7
5.1,15,88,42.2,30.3
15.1,8.5,13,16.6,14
43,18.1,14,38,30
2.1,10.1,5.3,51.4,12
5,7.3,38,45.4,23
5,0.4,15,11,12.1
2.1,5.5,2.5,13.5,32
1.6,26.1,37.6,6.1,110.5
10,15,20.3,5,42.3
3.9,16,15,22.4,13
7,45,7.4,0.9,26
20,30,28.5,38.8,22
15,16,22.8,20,18
38.3,22,9.3,58,64
1.7,6.5,34.7,12,23.2
10,2.6,20,3.7,34
0.6,7.2,34,36.1,20
4.4,12,12,28,26.3
1.2,10,23,37.2,24.5
18.9,22,32,28,115.6
5,21.1,12.3,24.4,1.9
33.2,5.3,21,8.2,30
3.6,25.8,15,27.3,31.1
1.1,1.2,23,29.5,40
1.8,10,48,23.2,47.5
20.6,10.3,4.2,21.6,26
11,21,29.6,28.4,16.4
11.2,20.1,5,23,46
2.1,10,9,20,37.2
0.4,12,19.4,36.5,21.6
15,24,20,7.2,29.2
0.6,0.2,23.1,18,30.8
42,24.2,17.4,27,33.3
19.2,12,12.8,13.4,7.2
7.2,4.5,12,33,92
9.6,2.9,25.5,5,74.5
6,4.6,6.5,46,11
13.5,12,18,10,39.3
20,0.5,22.8,33.5,23
12.4,14,22,12.8,12
4.5,30,39.6,36,9.6
13,10.4,30,0.3,30
4.6,0.8,15,15,31.3
2.7,17.1,11,32.2,25.3
8,1,25,14.2,15
6,19.4,22,30.7,12
18,4.8,48.8,19,13
4,16.7,27.6,22.5,51.7
10.4,6,9.3,19.5,43.3
15,5.8,53,32,9
0.4,12,10.9,6,11
1,18,7.5,17,38
0.1,10.5,12,8,65.7
2.2,24,56.9,23,12.5
3.5,28.5,27,12.8,12
4,18,13.6,11,8.1
20.5,20.7,9.2,18.2,24.3
26.9,10.6,11.9,27.1,14
12.5,6.1,2.1,12.5,10
7.6,2.2,20,6,24
1.2,19.6,1.5,5,7.9
6,9.5,63,8.2,3
1.2,26.9,30,21,18
0.1,15,77,23.2,11
4.6,7,15.9,41.5,18.8
5,15.5,10.8,5.5,33.4
2,20,20,18.5,22.7
12.5,5,11.8,3,27
2.9,21,11,27.1,25
14,9.3,9.8,34.9,21.9
28.3,15.5,9.5,87.5,27
38.2,20.2,20,26.2,25.7
1.2,10,16,27.6,10.5
5.3,5,15.3,20.7,20
36,2,14.1,5,12.8
1,14.3,1.5,2,29
7.4,20,23.3,13.5,16
5,10,38,50,17
7.5,10,30.4,22.2,14.6
4.3,8.5,10,19.4,12
1,10,54.7,40.6,27.6
1,25.8,4.3,14.2,30
5.3,16.9,12.5,20,21.9
5,14,14.9,14.8,14.1
35.1,10,10.2,55,17
1.2,4,51,2.5,5
3.5,3.9,19.4,2.7,38.2
10,8.8,8.2,8.1,24.4
24.4,8.5,3.5,19.8,30.1
1.3,13,11.9,23,17.4
13,12,13,31.6,34
1.7,5,55.2,35.8,28.1
2.6,14,3.9,8,34.5
9.5,11.3,22.2,19.4,60.7
4,12,21.4,6,39.1
4.8,10,7,26,15
12,25.7,51.3,2.3,25
16.3,8.8,7,25,31.5
28.6,7,12,23.2,16.5
10,12,4.7,20.6,43
3.6,435,17,18,47
10.9,32,35.6,22,3
15.3,3,23.9,22.7,0.5
30,7,19,28.7,32.5
5,35,6.2,18,23
1.5,10.8,34.1,8.9,27
17.5,32.6,7.3,11,29.1
6.5,15.1,7,22.4,15.5
2,5,6,31.5,36
10.7,5.1,10.8,20,10
6.3,0.8,14.3,14.7,65.2
3,54.5,20,48.3,46.2
20.1,12.2,5,84.1,6
2,24.5,42,17.1,0
21.1,5,15.5,24.4,15.5
3.5,8.5,8,29,44.3
20.2,3,23.3,16,19
1.6,4.8,18.1,30,27
35,18,8,25,37
2.5,31.2,33,63.7,76.4
1.8,10.1,10,22.4,93.1
6.7,26,16,20,22
39.2,13.8,19.7,26.1,14.8
11.9,39.5,30,10.8,37.8
15,17.6,24,28,18
7,5,19,18.1,15
9.6,9.5,7.4,22,22.7
1.5,18.5,21,55.6,26
10,11,30,18.9,5
5,13.6,20,42.6,60
1,8.5,4,22,6
7.3,5.5,8.7,21.1,27
1.1,9,7.3,32,26
27.5,12.5,1.6,57,41.9
2.9,13.7,6.6,21,40.1
3,11.6,12,28,26.1
16.8,27.1,36.2,60,32.4
3,10,28.5,9.4,18.1
5,10,11,40,18.1
3.2,0.6,22.1,10,13.1
1,25,11.2,24,25
20.1,128.5,11.4,19.5,17
7,10,5.7,37,22.8
8.3,0,21,15.5,17.3
10.6,5,0.9,15,24
14,17.5,27,6,10.8
8,34.6,8.6,23.2,16
12,2.5,14.8,3,55
5,11.5,12.3,18.3,37.3
11,5,19.3,10.6,30
5.2,11.7,0.5,20,7.8
1.2,10.3,18.3,29.8,35.8
40,29.5,32.7,26,12.2
2,28.2,24.5,29,40.4
7.1,3,30,34,8.5
7,1.8,18.5,7.6,23.1
10.5,28.7,13.3,10.5,3.3
5.5,50,45.5,57,29
10.9,10.1,16.6,15.5,24.2
3,13,5,8.3,16.7
20,14,4,33.5,20
10.8,4.9,0.3,16,30.2
7.9,17.5,34,85.8,6.5
12.4,4.5,11,54.6,2.5
10.6,3,29.5,20,7.2
3.3,5,33,10,19
11.9,16.3,4.2,20,19
6,3,35.7,15,20
64.2,21.8,54.5,11.4,7
3,20,17.1,25.7,24
2,3,17,25.7,10
4,25,19,14,1.4
6.5,49.8,37.1,39.7,62.3
1.3,23.4,0.1,14.5,3
8.9,10,26.2,15.1,12
15,9,27,33,17.3
1.8,15,15,32,20.1
17.9,15.6,0.8,12,25.5
14,25.8,25,55,51.7
2,21.6,10,7,20
29,24.7,18.3,12,11.9
36,24.2,38.8,4.5,18
4,6.1,14.1,4,17.1
1.8,8.2,9.6,5,30.2
10,2,3,13,20
32.3,9.5,33.5,88,37
2.8,22.2,15.9,24.6,35.8
5,53.1,10,49.5,8.2
18.4,1,20,12.6,15
11.9,31.9,26,20.7,20
10.8,16,19.2,38.4,23.6
3,6,10.3,13,16.8
1.5,6,16,38.6,27.1
200,62,3.6,19,29.2
8,3,31.2,9,7.4
31.2,16.9,15,23,46.9
15.3,9.8,35.6,13.1,24
1.2,10,6.5,4.1,9.2
14,23,38,33.9,21.3
2.1,6,17.9,13.5,48.3
29.5,7.6,8,2.1,19.5
31.8,12.5,7,36.6,9
1.3,10,11.4,16.2,23
0.2,16,28,3.7,3.5
5.4,22.3,13,24,35
7.2,17.1,13,58.9,33.3
3.6,4,3.8,24.4,56.3
2.5,23.6,7,13,6.8
130,2.8,49.6,24.3,55.5
1.5,26,18,11.5,20
30,53.5,38,29.7,31
46.3,10,17.9,14.5,13
4,15,15.8,5,23
27,14,11,66,47
5,10,13,11,12.5
0.5,40,24.8,10.5,3.1
3,3,16,47.3,20
16,25,20,11,88
1,30,40.6,9.1,52.3
130,7.5,15,2,19.6
33.6,12,48.4,27,23
4,0.3,33.8,21.3,18
150,12,13.3,47.1,25
45.6,3.9,18.3,24,32.2
5.2,10,25,24,8
12.5,10,39,30,67.3
10.6,13,22,10,29
2.4,4.5,9,5.6,31
2.3,25.5,13.1,17.9,19
39.2,16.1,10.8,18,17.6
16.2,20.7,20.3,22,24.1
2.4,8,4.1,18.9,24.4
4,18.1,15.9,18,9.7
4,13.3,23,38.2,7
22.1,2.9,10.7,9.9,20
10,10,6.9,4.4,11.1
6.3,25,19,28.2,7.9
8.6,15,12.5,12.4,15.5
0.3,6,13,21.2,34
6.2,11.2,10,22.6,12.2
1.5,24.2,11.1,26,25
7.4,30.7,10,14.4,44.5
0.2,6.8,1.5,13.3,49.2
30.5,24,4.4,16,22
11.2,15,4.9,0,12.1
2.8,18.7,43.8,13.3,22
17.1,18,22.6,33,32.4
2.9,4,39.3,27.8,21
0.1,10,18,6,12
13,28.3,19.4,32.2,8
10,9,45,4.6,19.1
5.8,5,12.8,23,40.6
0.3,15,48,11.3,81.1
2.3,8.5,0.5,3,17.1
12,2.6,25.1,18.8,33
25,17.5,13,47.3,58.5
3,126,5.1,25,36.4
2.3,7,30,13.2,2
230,11,40.5,66.8,37
19.7,2.7,40.8,30,20
8,3,149.8,24.5,24.6
29,15,13,20.8,11.4
8.4,12,30.2,19.5,11
10,7,11.2,16.6,35
30.8,10.3,2,28,15
3,0.5,18.9,23,14.1
2.4,12.4,9.1,2,8.3
3,3.5,29.2,29,42.5
1,15,17.4,18,27
14.5,10.8,20.6,9.8,35
24.6,18,12.1,22.7,20
4.4,17.5,4.5,12.5,7.3
8,10.3,19,35,27
10.2,22.2,19.5,21.1,36.4
6.3,29.1,11.5,39,2.7
0.3,5.1,17,27.7,28
22.5,50,42,10,29.8
36.2,4.5,39.6,12,27.5
12,11,5.7,22.5,22.7
11.3,6,29.5,25,18
2.2,12,15,35.6,39.5
1.5,16.5,22.9,17.1,15.7
6,11.4,22,12.1,19.2
5,11,17.7,38.4,23.4
8,3.4,67.9,25,30.8
10,4.6,29.7,23,15.1
0.3,14,30.2,16,220
20.5,25,10,20.8,16
27,17.5,55,19,31.1
2.3,15,46.4,23,9
0.7,9.4,3,16.3,23.4
35,4,32.5,8.1,16
26.5,0,12.7,17.5,55
24,0.9,27.6,20,18
7,0.5,38,7.4,8.7
11,19.3,12,21,7.5
40.5,11.9,21.9,36.1,25.7
6.9,5,12,8,40.5
17,18,11.7,8.8,33
2.8,15,12,52,18
0.3,11,19,21.8,21.3
12.6,41.9,14.5,8.3,50.6
5,4.7,6.2,22.6,25
14,4,9,9.8,20
3.1,18,10,15,18
4.4,24.7,22.7,12,18.8
0.5,15,18.5,4,34.2
3,24.2,7,23.9,41
1.9,20,7.5,15,25
15,9,0.5,34,58
5.1,9,20,17.2,114.3
11.2,11,10,4.2,24
21.5,4.3,47.6,37,21.2
7.5,3.5,19.2,10,21
9,6,10,15.5,33
23.6,14,4,25,25
25.7,9.5,29.4,23,14.7
10.7,10,22,6.1,42
3,24.5,8.4,14,35
1.2,1.5,2.6,13,25
0.4,13.1,16,34.9,13.4
7.9,21.1,14.5,12.6,36
4.1,8.9,41.9,35.1,18
8,3.5,4,10,9
22.4,10,24,39.9,17.8
2.7,12.7,36.2,18.3,20.1
4.5,17.2,9,1.3,20.1
7,0.6,22,35.9,1.7
20,49,12.7,15,30
5.2,29,9,40,32.2
10.6,8.1,3,23.1,13
0.1,4.5,17,13,42.7
8,5.1,25,146.5,40
1,37.2,18.3,12.8,13.7
1.2,12,12,11,10.3
4,8.8,51.6,21,54.9
4,63.7,5,29.3,19.3
72.2,20,3,95.2,10
8,10,19,14.2,50
4.6,13,26.6,16.7,15
5,22.9,12.5,19.7,2.4
20.6,0.6,12.5,20.2,52
6.6,30,8.6,26,39.9
15.1,15,5.9,22.9,30
1,3,12,26.2,11
5.2,26.2,11,45,24
7,6.8,22.4,24,39
32.6,20,9.5,7,11.8
11.2,6,10.7,12.6,16.8
1.5,29.2,37.3,16.8,21.7
2.5,37.2,406,40.8,37
2,2.7,36.9,40,34
14.8,32,19,25,15.9
3,6.2,75,15.5,8
7.5,29.8,15,11.6,34.5
0.3,10,9.6,29.4,32
5.1,10,21,12,59.7
15,6.1,29,5,35.4
4.2,9.4,20,21.9,13.5
6.8,22.4,18.3,25.2,14.4
12,34.9,7,20,16
29.6,3.1,36.6,17,21.4
2.3,10,59.1,20.6,8.9
5.2,7.6,7.5,11,15
21.5,3.5,7.9,12,14
3,17.1,15,10,16.8
11.4,15,14.4,16.1,60.2
2,16.1,2,16.1,39
17.3,10.9,70,48.2,12.2
5.6,6,34.2,15,38.3
19.1,28,30.1,5.6,11
2.2,8.5,9.4,54.2,25
15.8,8.2,40.7,4.3,95.3
15.1,9.4,19.1,14.1,42
6.7,8,1,7.8,30
0.1,4.7,25.5,28,5
1.5,1,10.2,5.3,11
3,10.4,9.3,72.2,58
8.2,11.9,20,31,26
12,20,5,22.4,15
5,11,22,8.5,32
0.1,92.9,9,10,32
20,15.1,6.9,34.7,17.8
19,9,62.3,6,10
8,24.2,16,13,34
13.3,11.8,11.5,30,37
0.8,28,20.3,16.8,49
20,13.5,21.6,15,22.8
9.1,17,26,226,19
5.2,6.5,3.6,21.6,16
8,8.5,8,31.3,28.1
0,12.2,80.8,7.2,5.3
1.8,19.3,6.1,50,15
11,12.5,7.5,47.6,23
2.5,10.5,22.9,12.5,9.5
6,10.2,12,35.3,40
5.2,28,8,20,12.7
61.8,8,13,10,15.4
21.3,12,22.4,15.3,8.8
3.2,7,10.2,15.5,14.1
3,4.7,22,4,231
0.6,15.6,20,9.5,15
26,16.8,11,6,38
2.8,6.9,13.8,23.2,12
3,7.7,15,16.9,27
9.4,6.4,25.2,6.3,15
16.5,18.8,25,13.5,16
20,20,13,20,22
14,10,21.6,25.3,35.5
18.9,0.6,18.9,32,10.5
34,14.1,10,42,24.2
24.8,5,2,21.3,32
1,8,21.1,21.2,50
0.5,22.2,17.2,18,23.3
0.9,26.6,20.5,22.6,28.7
5,68.6,12.8,6.6,21
9.3,1.5,24.4,10,30.9
12,2.3,16.4,13.5,19.1
8.4,7,2,7.2,7.5
2.4,16,8.3,25,15
15,12.6,4.5,12.2,15
20,19,12,72.4,18
4.9,5,7.3,22,20.1
8,38,1.8,10,58
5.7,42,10,29,14.4
14,4,5,27,52
25.9,21.8,72.6,23.6,19.3
0.8,0.4,20,14.5,16.9
15,16,25,5,30
1.2,7.5,0.8,17,52.7
5,200,22.4,29,17.7
5.3,7.5,5,43,33
5,15,17,14,38.1
4.7,2.5,26.8,66.6,20.8
28.4,10,22,3.7,10.8
14.3,19.5,3,27.9,18
20,12,9.5,30,40.6
5.1,25,6.2,30.7,30
14.8,23.7,13.4,37.4,21.4
3,9.4,0.6,16,33
20.9,9.4,18.4,22,31
18,6,25,5,28.4
5.1,10.7,18,25.4,21
4,0.2,10.4,15.9,42.6
4.7,25.7,17.8,25,22.3
10,20.2,13.6,10,13
5,10,4.8,7.5,34.8
4.2,30,3.6,11,15.6
10.5,17.4,28,34.2,42.4
34,28.7,30,9.1,22.1
6.1,9.5,14.2,12.3,0.8
22.8,2,16.2,2,15.6
44.4,12,15,27.2,50
2.9,12,7,28,3.9
0.3,140.6,8,15,17
30.5,0.1,3,7.7,9.4
4.1,10,87.2,21.9,12
2,21,24.4,30,31.4
6,8,41,23,28
4.4,14.5,0.3,8,39.6
5,18,32,6,15
19.7,14.8,32,14.3,15
4.8,13.5,6.4,20.1,12.8
27.5,5.2,72,26.4,23.9
15.7,21.1,15.1,11,35
16.2,13.2,10,3,9.7
13.7,9.6,5,50.9,28.3
36.5,24.5,42.6,32.9,53.1
14.4,3.5,9.5,13,17
19.7,15.2,8.4,33,16.4
31.4,4,19.5,6,25
3,47,7,0.5,3
4,3.2,24.5,23.3,12
6.9,1.8,10,47,83
21.2,15,4,10.4,7.7
5,20.6,21.7,22.7,47.2
13,15,24,13.3,30
25,4.6,15.5,25,35
12,4.3,14,25,35
6.1,16.1,1.5,10,39.5
10.1,5.6,22.3,3.5,19.6
2.2,21,28,16.8,23
14,0.3,19,59.8,26
8.1,9.7,3,24,27.1
12.5,10,11,25,15
8.8,4,20,14.6,34.3
10,15.7,14.4,37.8,27.9
0.1,9,13.8,20,52.6
16.2,0,14,18,0
2.2,7.9,24.2,30.6,23.8
1.1,3,33.5,25,34
16,8,7.7,42,15
12.8,4,4.2,17.9,10
1,8.1,6.5,21.7,14.5
13.1,25,12,16.2,30
0.5,0.8,20.4,22,27.1
1,15,6.2,13,43.2
0.1,10,8.3,30,16
1.3,7,20.5,24.4,57
5,9.3,9.4,3.6,12
52,25.8,17.5,8,52
4,8,12.8,8,28
12,2.5,42.7,16,36
4.5,12,42,19.6,24.1
5,17.3,13.2,28.2,17.5
10,28.7,22,17.9,32.1
16.5,0.6,10.5,18.3,46.8
12,41,27,23,8
4.9,6,31.2,8,1
2.4,7.5,21,8,4
5.1,13.2,15,29.6,66
16,0.7,15,32,4
8.7,27,3,30,15.5
66,4.5,1,29.9,24.9
2.6,24,7,52.1,17
3.5,16.1,16.5,18.1,14.1
8.1,20,14,45,20
4.2,4.3,25.5,24.3,15.8
8.5,6,14.7,100.3,36.7
6,2.1,12,75,16
12.6,17,38.7,16,30
80,6,11.8,33,39.5
30,0.3,44.9,53.2,62
13,20.1,5,23.6,64.5
23.9,10,18.8,50,34.1
12,1,25,6,17.5
20,9,46.4,15,18.9
1,10,14.6,50.4,30.3
1.7,28.7,10.8,16.6,3.5
1.6,20.1,8,18.7,23
6,6,10.5,15,18
4.9,7.5,11.9,14.9,72
20,15,11,27.1,35
77.5,4.1,17.4,26,13.6
0.5,6.8,23.6,13.2,18
3.2,12,36,9,29
10,40,10.1,8,21
13.8,32.4,15,8,43.9
9.3,16.9,84.7,31.7,19.5
0.6,14.4,20.1,31,18
0.6,40,0.7,20.3,14.5
3.2,3.5,2.3,2.2,31.4
8,25,22,10,14
6,52.2,15,37,23.3
7.7,13,13,7,43.1
8,26,4.4,33,51.2
3,1,28.8,23.7,38.8
22,5,13.3,45,41.8
35,3,25.7,11,11.1
4.5,5.5,6,29.8,12
1.2,17.8,218.7,17.5,33.4
24,10.4,50.3,20,7.7
0.2,29.5,5.2,10,44
15,3.6,12,8.2,33
8.9,26.1,16.2,6,23.4
15,17,13.5,41,21.5
12.6,12,12.8,5.6,21.3
13.9,0.9,15.3,13.2,12
20,29.2,7.3,14.1,22
10,7,4,4,42.2
2.6,5.1,29.4,70,36.9
20,6.5,10.8,20.2,30
3.4,6.4,25,2,12.7
5.2,2.5,8.3,22.5,25.5
7.9,26,21,17.4,48
5.8,4.4,3.5,12.5,13
4,6,12.5,9,57
30,15.3,22.2,17.4,25
12,10,17,24.9,26
1.5,6,30,33.1,15
2,1.5,1.9,29,30
13.7,29,34.6,8,38.9
0.5,11.1,9.6,35.4,24.3
12,2.4,8,37,5.5
13.8,7.1,1.5,70.1,15
60,10,8.5,37.3,13
18.5,17,10,14,20.7
1.2,6,11,80.5,15
7.3,36.8,46,27,47
13.8,25.4,7.1,4.7,3
5.2,4.3,3.8,17.7,27.5
2,9.5,12,23.1,13
4,67.8,18,45,27
9,15.4,13,8.1,20
25,6.1,16.4,13.1,14
7,2,24.9,16.8,45.6
10,20,23.5,23.5,32.5
15,6,14,8,12
22.7,2,7,29.5,20.8
25.1,15.9,23.5,23.1,14.6
4,27,26.2,35.4,26
0.8,5.1,9.4,32,50.1
11.1,22.9,18,23.5,30
9.1,20,14,23.2,49.5
5,50.6,1.2,58,18.8
1.5,114.3,25.3,22,19.1
218,8,35.2,4,18.9
5,5,11.2,6,21.3
5.2,21.6,39,40,71.6
2,15.6,11.1,24.4,23.3
1.3,3.3,16.8,22,32
4.1,3,56.4,47.8,20
10,0,5,37.5,33
4.5,10,2.2,18.3,50.4
51,8.7,13,7.2,30.5
10,54,48.4,10.1,4
20.7,5,19.8,12,29.7
4.9,13.2,20,7.5,0.3
21.5,8,28.4,27,25.7
10.2,9,8,31.5,17.1
1.5,8.1,32.3,31.5,57.3
18,12,35.4,30.7,35
18,6.1,27.8,21,10
54.1,8.4,10,11.4,35.6
0.4,0.7,15,18,21.1
0.6,17,8,22.5,17
3.5,10,26.5,33.2,15
0,21.3,28.8,19.6,10.8
0.6,13.1,25,32.2,20.3
7.5,32.3,0,12.8,52.2
4.3,1.5,2,28,20.5
12.7,16.8,20.1,15.4,35.3
6,2,23.2,24,28
3.2,20,31,26,11.5
23.8,11,8,21,11.3
16.2,4.1,9,38,7.9
5,46.4,30,43,22.1
6.7,14,7,10.8,31.5
6,1.7,0.2,12,22
12.7,20,200,25,14.2
5,6,18,41,22
10,0.5,2.5,13.6,6
15.9,20,27,20,12.9
