MARKAL-NETL,REGEN-EPRI,IPM-NRDC,Haiku-RFF,NEMS-RHG,ReEDS-NREL,RIO-REPEAT,EPS-EI,GCAM-CGS
10.12692501,19.15527059,19.43834083,38.19703261,49.63599125,62.96692532,65.3854596,70.69982942,77.00669799
15.53906775,29.39244116,29.82679291,58.61071125,76.16300408,96.61840269,100.3294767,108.4840105,118.1614652
103.018758,194.8619332,197.7415383,388.5691713,504.9349299,640.5472969,665.150461,719.2122594,783.3705074
12.14116735,22.96524816,23.30462098,45.79441093,59.508575,75.49102786,78.39060788,84.76200426,92.32330709
18.7277976,35.42398411,35.94746801,70.63805598,91.7922071,116.4452025,120.9178159,130.7457194,142.4090583
136.7268385,258.6214064,262.4432278,515.7102974,670.1513196,850.1365045,882.7899057,954.5409045,1039.691945
38.40658111,72.64677609,73.72032606,144.8630685,188.2455654,238.8034198,247.9757631,268.1306251,292.0495599
12.05551266,22.80323068,23.14020926,45.47133603,59.08874808,74.95844637,77.83757015,84.16401698,91.67197559
101.5627886,192.1079396,194.9468471,383.0775034,497.7986588,631.4944093,655.7498556,709.0475959,772.2990921
13.81626842,26.13373358,26.51992923,52.11260624,67.71889569,85.90642678,89.20605808,96.45650774,105.0610337
71.28415716,134.8353343,136.8278862,268.8716736,349.3913302,443.2287388,460.2529764,497.6612097,542.0557134
5.690304103,10.76331806,10.9223748,21.46285582,27.89038966,35.38102169,36.73999251,39.72612901,43.26994907
92.84652764,175.6209667,178.2162352,350.2012546,455.0768795,577.2986732,599.472483,648.1961365,706.0193005
16.79739047,31.77258243,32.24210713,63.35688977,82.33053227,104.4423683,108.4539576,117.2688294,127.729945
43.27213375,81.8500611,83.05961418,163.2151025,212.0935278,269.0563237,279.3906689,302.0988574,329.0479717
12.17131273,23.0222687,23.36248416,45.90811412,59.65632917,75.67846495,78.58524436,84.97246031,92.55253714
74.92710393,141.7260371,143.8204176,282.612247,367.2468267,465.8797564,483.7740105,523.0939758,569.7572419
14.02179113,26.52248367,26.91442414,52.8878028,68.72624226,87.1843204,90.53303508,97.89133817,106.62386
50.08389471,94.73463608,96.13459313,188.9079022,245.480613,311.4103101,323.3714549,349.6542938,380.8456516
13.26637437,25.09359855,25.46442343,50.03849972,65.02365143,82.48731013,85.65561454,92.61749285,100.8795546
18.99751018,35.93415056,36.46517353,71.65536578,93.11417316,118.1222142,122.6592409,132.6286832,144.4599943
46.88477461,88.68343976,89.99397424,176.8413672,229.8004833,291.5189061,302.71603,327.3200467,356.5190494
73.99642259,139.9656358,142.0340015,279.1018758,362.6851961,460.0929907,477.7649775,516.5965433,562.6801976
89.86776138,169.9865739,172.4985791,338.9658567,440.4767896,558.7773794,580.2397939,627.4002615,683.368303
26.24694175,49.64658778,50.3802486,98.9989843,128.6464519,163.1975372,169.465889,183.2396609,199.5857888
8.465264439,16.01220813,16.24883123,31.92953256,41.49154765,52.63509636,54.65678924,59.09915905,64.371175
23.62144856,44.68041764,45.34069004,89.09607209,115.7778904,146.8728154,152.5141411,164.9101165,179.6211341
62.04349554,117.3564477,119.0907024,234.0174752,304.0992599,385.7723984,400.5897611,433.1487146,471.7882988
34.99761429,66.19865073,67.17691245,132.0050275,171.5368954,217.6072365,225.9654429,244.33136,266.127251
79.55686901,150.4833256,152.7071183,300.0749306,389.9391029,494.6665868,513.6665315,555.4160876,604.9626889
61.13853835,115.644704,117.3536631,230.6041311,299.6637134,380.1455797,394.7468185,426.8308719,464.9068649
27.16669564,51.38631968,52.14568968,102.468139,133.1545228,168.9163585,175.4043679,189.6608048,206.5797391
16.83449195,31.84276058,32.31332234,63.4968302,82.512381,104.6730568,108.6935069,117.5278486,128.0120704
42.57781696,80.53674774,81.7268931,160.5962581,208.6904117,264.7392192,274.9077462,297.2515737,323.7682799
20.80768074,39.35812249,39.93974378,78.48302017,101.9865219,129.3774446,134.3467802,145.2661571,158.2248101
6.93577692,13.1191535,13.313024,26.1605667,33.99493549,43.12508949,44.78150684,48.4212379,52.74071626
17.72838373,33.53357383,34.02912187,66.86843744,86.89369169,110.2310734,114.4650046,123.7684395,134.8093612
28.79030734,54.45741199,55.26216557,108.5921252,141.1124741,179.0116082,185.8873721,200.9958418,218.9259326
31.64241743,59.85223228,60.73670873,119.3497976,155.091773,196.7453826,204.3022936,220.907483,240.6138171
